workflow_id,workflow_name,domain,team,stakeholder,problem,agent_goal,source_systems,delivery_surface,base_impact,data_sensitivity,process_complexity,automation_fit,adoption_pull,effort
AGT-001,Identity Resolution Intake Agent,Identity infrastructure,Product,Platform product manager,Platform teams need to convert broad data onboarding requests into precise identity match requirements before engineering starts.,"Read discovery notes and produce a source-to-match specification with identifiers, confidence thresholds, exception handling, and approval gates.","CRM notes, data dictionary, API docs, sample files",Claude Cowork workspace,92,74,76,84,88,54
AGT-002,Fraud Signal Reason Code Agent,Fraud and risk,Risk products,Risk product lead,"Risk teams need explainable reason-code summaries when phone, email, address, and identity signals point to elevated risk.","Summarize risk drivers, confidence, and human review needs from structured signal outputs and policy notes.","Risk score exports, policy notes, product catalog",Claude Cowork workspace,88,86,82,78,81,67
AGT-003,Lead Builder Audience QA Agent,Marketing intelligence,Growth product,Sales enablement lead,"Sales and marketing teams need to validate audience filters, expected volume, pricing, and suppression rules before a lead list is activated.","Inspect the requested audience, flag impossible or risky criteria, and produce a buyer-ready fulfillment brief.","Audience filter export, pricing table, suppression rules",Claude Cowork workspace,84,68,63,90,86,46
AGT-004,Investigation Research Brief Agent,Investigations,Customer operations,Investigation support manager,Research teams need structured briefs that separate verified identity context from leads that still require review.,"Turn research notes and public-record extracts into a concise brief with citations, confidence labels, and unresolved questions.","Research notes, search exports, case templates",Claude Cowork workspace,79,89,85,69,72,70
AGT-005,Data Delivery Onboarding Agent,Data delivery,Implementation,Implementation manager,"Implementation teams need faster handoffs for API, batch, Snowflake, and cloud-storage data delivery decisions.","Synthesize client requirements into delivery mode, schema mapping, refresh cadence, test plan, and launch blockers.","Implementation forms, schema registry, client notes",Claude Cowork workspace,91,78,80,86,83,58
AGT-006,Compliance Exception Review Agent,Governance,Compliance,Compliance operations lead,Teams need a repeatable review of data-use exceptions before a customer-facing workflow is approved.,"Classify the request, identify policy conflicts, draft reviewer questions, and route to the right approver.","Policy docs, request forms, contract notes",Claude Cowork workspace,77,94,88,66,70,72
AGT-007,Customer Training Workshop Agent,Enablement,Customer success,Enablement lead,Customer-facing teams need role-specific training packs when new identity intelligence workflows launch.,"Convert release notes, FAQs, and workflow examples into workshop agendas, scripts, and practice exercises.","Release notes, FAQs, support macros",Claude Cowork workspace,73,42,48,92,89,34
AGT-008,Data Quality Drift Digest Agent,Data quality,Data operations,Data operations lead,"Data operations teams need digestible drift summaries when source freshness, match rates, and exception volumes move together.","Review quality metrics, explain likely drivers, draft follow-up checks, and prepare the weekly stakeholder note.","Quality dashboard exports, incident queue, source status notes",Claude Cowork workspace,87,71,74,88,80,52
AGT-009,Sales Discovery Call Synthesizer,Sales intelligence,Sales,Sales leader,"Sales teams need reliable discovery summaries that identify use case, data need, urgency, decision process, and next action.",Turn call notes into structured opportunity intelligence and product feedback without losing customer nuance.,"Call notes, CRM fields, product taxonomy",Claude Cowork workspace,82,51,57,91,91,38
AGT-010,Internal AI Agent Review Coach,AI operations,Product operations,AI program lead,Teams need a common rubric for reviewing agent outputs before internal workflows spread across departments.,"Score agent drafts, identify missing guardrails, suggest prompt improvements, and prepare coaching notes for builders.","Agent specs, test outputs, review rubric",Claude Cowork workspace,89,62,69,87,94,41
