action_id,entity_id,action_type,effort_hours,expected_lift_pct,status
ACT0001,AGE014,document,26,23.4,Proposed
ACT0002,AGE004,document,29,8.7,Proposed
ACT0003,AGE011,document,29,18.4,Complete
ACT0004,AGE027,monitor,22,2.9,Proposed
ACT0005,AGE025,validate,11,11.7,Ready
ACT0006,AGE034,automate,15,20.5,Proposed
ACT0007,AGE023,prioritize,8,21.6,Complete
ACT0008,AGE003,document,5,20.1,Complete
ACT0009,AGE002,prioritize,35,4.7,Ready
ACT0010,AGE005,document,26,5.1,Ready
ACT0011,AGE026,automate,39,20.9,Proposed
ACT0012,AGE016,monitor,15,18.9,Proposed
ACT0013,AGE018,prioritize,31,2.1,Proposed
ACT0014,AGE027,monitor,23,20.3,In Review
ACT0015,AGE030,document,17,20.9,Ready
ACT0016,AGE016,monitor,44,18.8,Ready
ACT0017,AGE028,validate,27,11.3,Ready
ACT0018,AGE013,escalate,17,11.0,Complete
ACT0019,AGE022,validate,17,9.3,In Review
ACT0020,AGE022,validate,8,18.7,Ready
ACT0021,AGE007,escalate,14,22.4,Ready
ACT0022,AGE023,validate,17,17.4,Complete
ACT0023,AGE005,validate,41,19.7,Complete
ACT0024,AGE015,automate,5,18.3,Proposed
ACT0025,AGE031,prioritize,14,17.4,Proposed
ACT0026,AGE010,monitor,15,13.6,Ready
ACT0027,AGE021,document,24,14.0,Proposed
ACT0028,AGE012,validate,14,20.2,Proposed
ACT0029,AGE012,escalate,42,14.3,Ready
ACT0030,AGE004,automate,35,20.3,In Review
ACT0031,AGE026,automate,41,18.3,Complete
ACT0032,AGE017,document,17,2.8,Ready
ACT0033,AGE019,validate,10,23.3,Complete
ACT0034,AGE012,validate,8,20.8,In Review
ACT0035,AGE010,automate,25,4.4,Ready
ACT0036,AGE033,automate,37,6.7,Proposed
ACT0037,AGE021,escalate,20,12.9,Ready
ACT0038,AGE015,validate,19,3.4,Ready
ACT0039,AGE009,document,12,5.6,Proposed
ACT0040,AGE008,document,36,5.2,Complete
ACT0041,AGE005,monitor,42,17.4,Ready
ACT0042,AGE019,validate,4,20.7,In Review
ACT0043,AGE011,validate,35,15.5,In Review
ACT0044,AGE017,automate,26,21.3,Ready
ACT0045,AGE014,validate,9,10.3,Complete
ACT0046,AGE018,document,36,8.4,Proposed
ACT0047,AGE036,monitor,36,13.8,Proposed
ACT0048,AGE031,monitor,29,18.3,Complete
ACT0049,AGE012,automate,19,15.8,Complete
ACT0050,AGE021,prioritize,24,13.2,In Review
ACT0051,AGE020,prioritize,22,10.3,Complete
ACT0052,AGE031,escalate,42,15.8,Proposed
ACT0053,AGE025,document,40,7.0,In Review
ACT0054,AGE018,prioritize,16,8.7,Complete
ACT0055,AGE011,monitor,20,20.6,In Review
ACT0056,AGE008,document,16,12.1,Ready
ACT0057,AGE002,prioritize,24,5.5,Complete
ACT0058,AGE034,prioritize,29,6.1,Complete
ACT0059,AGE027,validate,39,8.7,Complete
ACT0060,AGE014,document,42,2.3,Proposed
ACT0061,AGE002,prioritize,8,10.9,Complete
ACT0062,AGE025,document,14,2.1,Complete
ACT0063,AGE018,document,29,6.9,Complete
ACT0064,AGE015,prioritize,2,11.6,Proposed
ACT0065,AGE013,automate,38,8.5,Proposed
ACT0066,AGE026,validate,38,17.0,Ready
ACT0067,AGE015,prioritize,29,18.9,In Review
